gp_en,gp_kn,village_en,village_kn,correct_yn,notes
Alooru,ಆಲೂರು,Alur,ಆಲೂರು,,
Alooru,ಆಲೂರು,Chikkobanahalli,ಚಿಕ್ಕೋಬನಹಳ್ಳಿ,,
Appenhalli,ಅಪ್ಪೇನಹಳ್ಳಿ,Appainahalli,ಅಪ್ಪೈನಹಳ್ಳಿ,,
Appenhalli,ಅಪ್ಪೇನಹಳ್ಳಿ,Halasagara,ಹಲಸಾಗರ,,
Appenhalli,ಅಪ್ಪೇನಹಳ್ಳಿ,Appenahalli Thanda,ಅಪ್ಪೇನಹಳ್ಳಿ ತಾಂಡಾ,,
Appenhalli,ಅಪ್ಪೇನಹಳ್ಳಿ,Beeshnahalli,ಬೀಷ್ಣಹಳ್ಳಿ,,
Badeladaku,ಬಡೆಲಡಕು,Badaladuku,ಬಡಲಡುಕು,,
Badeladaku,ಬಡೆಲಡಕು,Batthanahalli,ಬತ್ತನಹಳ್ಳಿ,,
Badeladaku,ಬಡೆಲಡಕು,Dhibbadhahalli,ಧಿಬ್ಬದಹಳ್ಳಿ,,
Banavikallu,ಬನವಿಕಲ್ಲು,Banavikal,ಬನವಿಕಲ್,,
Banavikallu,ಬನವಿಕಲ್ಲು,Amaradevaragudda,ಅಮರದೇವರಗುಡ್ಡ,,
Banavikallu,ಬನವಿಕಲ್ಲು,Buragatte,ಬುರಗಟ್ಟೆ,,
Bellagatta,ಬೆಲ್ಲಗಟ್ಟ,Belligatta,ಬೆಲ್ಲಿಗಟ್ಟ,,
Bellagatta,ಬೆಲ್ಲಗಟ್ಟ,Dasarobanahalli,ದಾಸರೋಬನಹಳ್ಳಿ,,
Bellagatta,ಬೆಲ್ಲಗಟ್ಟ,Bombay Colony,ಬಾಂಬೆ ಕಾಲೋನಿ,,
Bellagatta,ಬೆಲ್ಲಗಟ್ಟ,Beeralagudda Myasarahatti,ಬೀರಲಗುಡ್ಡ ಮ್ಯಾಸರಹಟ್ಟಿ,,
Chiratagundu,ಚಿರತಗುಂಡು,Chitrathagundu,ಚಿತ್ರತಗುಂಡು,,
Chiratagundu,ಚಿರತಗುಂಡು,Chinnenahalli,ಚಿನ್ನೇನಹಳ್ಳಿ,,
Choudapur,ಚೌಡಾಪುರ,Amalapura,ಅಮಲಾಪುರ,,
Choudapur,ಚೌಡಾಪುರ,Chowdapura,ಚೌಡಾಪುರ,,
Choudapur,ಚೌಡಾಪುರ,Chowadayyana Halli,ಚೌಡಯ್ಯನ ಹಳ್ಳಿ,,
Gandabommanahalli,ಗಂಡಬೊಮ್ಮನಹಳ್ಳಿ,Ekkegundi,ಎಕ್ಕೆಗುಂಡಿ,,
Gandabommanahalli,ಗಂಡಬೊಮ್ಮನಹಳ್ಳಿ,Gandabommanahalli,ಗಂಡಬೊಮ್ಮನಹಳ್ಳಿ,,
Gandabommanahalli,ಗಂಡಬೊಮ್ಮನಹಳ್ಳಿ,Borayyanahatti,ಬೋರಯ್ಯನಹಟ್ಟಿ,,
Gandabommanahalli,ಗಂಡಬೊಮ್ಮನಹಳ್ಳಿ,Devarahatti,ದೇವರಹಟ್ಟಿ,,
Gudekote,ಗುಡೇಕೋಟೆ,Gudekota,ಗುಡೇಕೋಟ,,
Gudekote,ಗುಡೇಕೋಟೆ,Beerlagudda,ಬೀರ್ಲಗುಡ್ಡ,,
Gudekote,ಗುಡೇಕೋಟೆ,Bheemasamudra,ಭೀಮಸಮುದ್ರ,,
Gudekote,ಗುಡೇಕೋಟೆ,Nagarakatti,ನಾಗರಕಟ್ಟಿ,,
Gundumunugu,ಗುಂಡುಮುಣುಗು,Gundumunugu,ಗುಂಡುಮುಣುಗು,,
Gundumunugu,ಗುಂಡುಮುಣುಗು,Akyapura,ಅಕ್ಯಾಪುರ,,
Harakbhavi,ಹರಕಭಾವಿ,Bellikatti,ಬೆಳ್ಳಿಕಟ್ಟಿ,,
Harakbhavi,ಹರಕಭಾವಿ,Harakabhavi,ಹರಕಭಾವಿ,,
Hirehegdal,ಹಿರೇಹೆಗ್ದಾಳ್,Boppalapura,ಬೊಪ್ಪಲಾಪುರ,,
Hirehegdal,ಹಿರೇಹೆಗ್ದಾಳ್,Hirehegdal,ಹಿರೇಹೆಗ್ದಾಳ್,,
Hirekumbalagunte,ಹಿರೇಕುಂಬಳಗುಂತೆ,Byluthumbaraguddi,ಬೈಲುತುಂಬರಗುಡ್ಡಿ,,
Hirekumbalagunte,ಹಿರೇಕುಂಬಳಗುಂತೆ,Chikkakumbalagunte,ಚಿಕ್ಕಕುಂಬಳಗುಂತೆ,,
Hirekumbalagunte,ಹಿರೇಕುಂಬಳಗುಂತೆ,Bylathumbaraguddhi Gollarahatti,ಬೈಲತುಂಬರಗುಡ್ಡಿ ಗೊಲ್ಲರಹಟ್ಟಿ,,
Hosahalli,ಹೊಸಹಳ್ಳಿ,Hosahalli,ಹೊಸಹಳ್ಳಿ,,
Hosahalli,ಹೊಸಹಳ್ಳಿ,Kandagal,ಕಂದಗಲ್,,
Hosahalli,ಹೊಸಹಳ್ಳಿ,Kalapura,ಕಲಪುರ,,
Hosahalli,ಹೊಸಹಳ್ಳಿ,Thimmalapura,ತಿಮ್ಮಲಾಪುರ,,
Hudem,ಹುಡೆಂ,Hudem,ಹುಡೆಂ,,
Jermali,ಜೆರ್ಮಲಿ,Jermali,ಜೆರ್ಮಲಿ,,
