gp_en,village_en,adhyaksha_name,adhyaksha_phone,pdo_name,pdo_phone,village_manager_name,village_manager_phone,party_booth_incharge,notes
Alooru,Alur,,,,,,,,
Alooru,Chikkobanahalli,,,,,,,,
Appenhalli,Appainahalli,,,,,,,,
Appenhalli,Halasagara,,,,,,,,
Appenhalli,Appenahalli Thanda,,,,,,,,
Appenhalli,Beeshnahalli,,,,,,,,
Badeladaku,Badaladuku,,,,,,,,
Badeladaku,Batthanahalli,,,,,,,,
Badeladaku,Dhibbadhahalli,,,,,,,,
Banavikallu,Banavikal,,,,,,,,
Banavikallu,Amaradevaragudda,,,,,,,,
Banavikallu,Buragatte,,,,,,,,
Bellagatta,Belligatta,,,,,,,,
Bellagatta,Dasarobanahalli,,,,,,,,
Bellagatta,Bombay Colony,,,,,,,,
Bellagatta,Beeralagudda Myasarahatti,,,,,,,,
Chiratagundu,Chitrathagundu,,,,,,,,
Chiratagundu,Chinnenahalli,,,,,,,,
Choudapur,Amalapura,,,,,,,,
Choudapur,Chowdapura,,,,,,,,
Choudapur,Chowadayyana Halli,,,,,,,,
Gandabommanahalli,Ekkegundi,,,,,,,,
Gandabommanahalli,Gandabommanahalli,,,,,,,,
Gandabommanahalli,Borayyanahatti,,,,,,,,
Gandabommanahalli,Devarahatti,,,,,,,,
Gudekote,Gudekota,,,,,,,,
Gudekote,Beerlagudda,,,,,,,,
Gudekote,Bheemasamudra,,,,,,,,
Gudekote,Nagarakatti,,,,,,,,
Gundumunugu,Gundumunugu,,,,,,,,
Gundumunugu,Akyapura,,,,,,,,
Harakbhavi,Bellikatti,,,,,,,,
Harakbhavi,Harakabhavi,,,,,,,,
Hirehegdal,Boppalapura,,,,,,,,
Hirehegdal,Hirehegdal,,,,,,,,
Hirekumbalagunte,Byluthumbaraguddi,,,,,,,,
Hirekumbalagunte,Chikkakumbalagunte,,,,,,,,
Hirekumbalagunte,Bylathumbaraguddhi Gollarahatti,,,,,,,,
Hosahalli,Hosahalli,,,,,,,,
Hosahalli,Kandagal,,,,,,,,
Hosahalli,Kalapura,,,,,,,,
Hosahalli,Thimmalapura,,,,,,,,
Hudem,Hudem,,,,,,,,
Jermali,Jermali,,,,,,,,
Jermali,Agrahara,,,,,,,,
Jumbobanahalli,Jumbobanahalli,,,,,,,,
Jumbobanahalli,Joladakudligi,,,,,,,,
Jumbobanahalli,Sanklapura,,,,,,,,
Kakuppi,Adavi Sooravvanahalli,,,,,,,,
Kakuppi,Ammanakeri,,,,,,,,
Kakuppi,Kakuppi,,,,,,,,
Makanadaku,Chikkajogi Tanda,,,,,,,,
Makanadaku,Chikkajogihalli,,,,,,,,
Marabha,Gundinahole,,,,,,,,
Marabha,Marabha,,,,,,,,
Pujarahalli,Pujarahalli,,,,,,,,
Pujarahalli,Arjunachinnena Halli,,,,,,,,
Pujarahalli,Gajapura,,,,,,,,
Pujarahalli,Aigala Mallapur,,,,,,,,
Ramadurga,Chandrasekarapura,,,,,,,,
Ramadurga,Ramadurga,,,,,,,,
Ramadurga,B.T. Gollarahatti,,,,,,,,
Shivapura,Bande Basapura Tanda,,,,,,,,
Shivapura,Shivapura,,,,,,,,
Suladahalli,C. Imadapura,,,,,,,,
Suladahalli,Halayyanakote,,,,,,,,
Suladahalli,Suladahalli,,,,,,,,
Huralihal,Huralihal,,,,,,,,
Huralihal,A. Dhibbadhahalli,,,,,,,,
